"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2011","2,178.50","2,074.50","2,271.00","2,031.00","1.10M","4.23%"
"09/01/2011","2,090.00","2,409.00","2,419.00","2,075.00","766.66K","-13.30%"
"08/01/2011","2,410.50","2,455.00","2,484.50","2,371.50","738.07K","-1.43%"
"07/01/2011","2,445.50","2,290.00","2,478.50","2,265.00","991.26K","6.60%"
"06/01/2011","2,294.00","2,370.00","2,398.00","2,180.00","914.10K","-3.29%"
"05/01/2011","2,372.00","2,406.00","2,411.00","2,253.50","795.61K","-1.80%"
"04/01/2011","2,415.50","2,352.00","2,464.00","2,310.00","798.85K","3.29%"
"03/01/2011","2,338.50","2,414.00","2,448.00","2,235.00","976.54K","-2.89%"
"02/01/2011","2,408.00","2,480.00","2,552.00","2,356.00","1.12M","-2.69%"
"01/01/2011","2,474.50","2,388.00","2,557.00","2,302.00","1.27M","4.21%"
"12/01/2010","2,374.50","2,239.00","2,413.00","2,160.00","1.44M","6.43%"
"11/01/2010","2,231.00","2,218.00","2,350.00","2,172.00","1.44M","1.00%"
"10/01/2010","2,209.00","2,013.00","2,278.00","1,930.00","1.42M","9.44%"
"09/01/2010","2,018.50","2,028.00","2,096.00","1,956.50","991.42K","-0.64%"
"08/01/2010","2,031.50","2,078.00","2,190.00","2,025.00","1.10M","-1.67%"
"07/01/2010","2,066.00","1,925.00","2,109.50","1,878.00","1.10M","7.49%"
"06/01/2010","1,922.00","2,012.00","2,016.00","1,892.00","653.83K","-4.35%"
"05/01/2010","2,009.50","2,025.00","2,039.50","1,972.00","745.65K","-1.54%"
"04/01/2010","2,041.00","2,028.00","2,067.00","1,921.00","925.14K","0.15%"
"03/01/2010","2,038.00","2,087.50","2,154.00","1,982.00","1.16M","-2.25%"
"02/01/2010","2,085.00","2,058.00","2,257.00","2,037.50","1.56M","0.75%"
"01/01/2010","2,069.50","2,372.00","2,408.00","2,065.00","1.44M","-13.17%"
"12/01/2009","2,383.50","2,440.50","2,470.00","2,294.00","1.14M","-2.36%"
"11/01/2009","2,441.00","2,248.00","2,449.00","2,248.00","1.06M","9.46%"
"10/01/2009","2,230.00","2,030.00","2,235.00","1,976.00","1.14M","9.72%"
"09/01/2009","2,032.50","2,240.00","2,262.00","1,933.00","794.48K","-9.65%"
"08/01/2009","2,249.50","2,241.00","2,445.00","2,231.00","706.30K","0.63%"
"07/01/2009","2,235.50","2,482.00","2,492.00","2,118.00","782.35K","-9.66%"
"06/01/2009","2,474.50","2,605.00","2,630.00","2,242.50","625.19K","-4.63%"
"05/01/2009","2,594.50","2,663.50","2,824.00","2,516.00","542.50K","-1.01%"
"04/01/2009","2,621.00","2,351.00","2,819.00","2,351.00","1.02M","11.94%"
"03/01/2009","2,341.50","2,302.00","2,441.00","2,264.00","908.20K","1.01%"
"02/01/2009","2,318.00","2,286.00","2,518.50","2,175.00","954.54K","0.70%"
"01/01/2009","2,302.00","1,919.50","2,445.00","1,907.00","1.35M","20.59%"
"12/01/2008","1,909.00","1,709.00","1,980.00","1,643.00","806.69K","11.83%"
"11/01/2008","1,707.00","1,665.00","1,719.50","1,517.00","791.02K","1.85%"
"10/01/2008","1,676.00","1,949.00","1,949.00","1,600.00","1.16M","-14.60%"
"09/01/2008","1,962.50","2,536.00","2,715.00","1,918.00","825.40K","-22.80%"
"08/01/2008","2,542.00","2,620.00","2,740.00","2,441.50","465.61K","-3.44%"
"07/01/2008","2,632.50","2,766.00","2,826.00","2,525.50","541.08K","-4.27%"
"06/01/2008","2,750.00","2,483.00","2,769.00","2,404.00","407.57K","10.66%"
"05/01/2008","2,485.00","2,175.00","2,504.00","2,173.00","398.91K","13.34%"
"04/01/2008","2,192.50","2,133.00","2,289.00","2,026.00","312.71K","0.87%"
"03/01/2008","2,173.50","2,328.00","2,417.00","2,080.00","586.17K","-6.23%"
"02/01/2008","2,318.00","2,054.00","2,320.50","2,050.50","650.98K","13.21%"
"01/01/2008","2,047.50","1,991.00","2,132.00","1,887.00","1.03M","2.53%"
"12/01/2007","1,997.00","1,780.00","2,047.00","1,772.00","615.65K","11.85%"
"11/01/2007","1,785.50","1,720.00","1,820.50","1,632.00","525.00K","4.11%"
"10/01/2007","1,715.00","1,621.00","1,755.00","1,554.00","607.09K","5.44%"
"09/01/2007","1,626.50","1,520.00","1,668.00","1,507.50","475.10K","7.01%"
"08/01/2007","1,520.00","1,595.00","1,604.50","1,481.00","365.88K","-4.64%"
"07/01/2007","1,594.00","1,588.00","1,670.00","1,577.00","281.80K","0.47%"
"06/01/2007","1,586.50","1,529.00","1,590.00","1,460.00","229.44K","3.63%"
"05/01/2007","1,531.00","1,533.05","1,562.00","1,490.00","269.12K","-0.32%"
"04/01/2007","1,535.90","1,579.00","1,592.00","1,359.30","239.00K","-2.78%"
"03/01/2007","1,579.85","1,465.00","1,595.00","1,445.60","377.32K","7.84%"
"02/01/2007","1,465.05","1,422.00","1,471.00","1,392.10","377.29K","3.11%"
"01/01/2007","1,420.80","1,388.00","1,443.80","1,345.20","416.47K","1.85%"
"12/01/2006","1,394.95","1,389.00","1,414.00","1,322.50","497.74K","1.01%"
"11/01/2006","1,381.00","1,275.00","1,448.00","1,261.00","444.61K","7.81%"
"10/01/2006","1,280.95","1,226.00","1,285.90","1,181.00","256.58K","4.52%"
"09/01/2006","1,225.50","1,283.00","1,294.00","1,160.00","123.90K","-4.45%"
"08/01/2006","1,282.55","1,287.60","1,300.00","1,242.60","144.32K","-0.54%"
"07/01/2006","1,289.45","1,289.80","1,305.00","1,203.10","148.21K","0.37%"
"06/01/2006","1,284.75","1,276.00","1,311.00","1,199.00","198.45K","0.38%"
"05/01/2006","1,279.85","1,325.00","1,397.20","1,260.25","290.41K","-3.89%"
"04/01/2006","1,331.60","1,186.00","1,343.80","1,173.00","317.68K","11.86%"
"03/01/2006","1,190.45","1,215.00","1,225.00","1,145.00","226.61K","-2.23%"
"02/01/2006","1,217.60","1,212.25","1,228.00","1,187.00","191.09K","0.16%"
"01/01/2006","1,215.60","1,187.00","1,221.00","1,148.60","269.43K","2.56%"
"12/01/2005","1,185.25","1,133.95","1,195.00","1,114.70","300.08K","5.19%"
"11/01/2005","1,126.80","1,212.00","1,215.70","1,104.05","208.68K","-7.03%"
"10/01/2005","1,212.05","1,207.50","1,253.00","1,162.15","181.89K","0.73%"
"09/01/2005","1,203.30","1,307.00","1,311.00","1,190.00","134.80K","-7.78%"
"08/01/2005","1,304.80","1,304.00","1,321.90","1,249.00","201.91K","-0.06%"
"07/01/2005","1,305.55","1,295.00","1,354.70","1,291.00","149.97K","0.51%"
"06/01/2005","1,298.90","1,319.90","1,347.35","1,260.00","225.94K","-1.49%"
"05/01/2005","1,318.50","1,304.00","1,321.80","1,214.00","223.13K","1.67%"
"04/01/2005","1,296.85","1,363.70","1,363.90","1,287.00","169.74K","-5.04%"
"03/01/2005","1,365.75","1,293.50","1,370.00","1,272.00","397.99K","5.54%"
"02/01/2005","1,294.00","1,230.00","1,299.15","1,212.05","385.95K","5.22%"
"01/01/2005","1,229.75","1,307.50","1,316.80","1,199.00","344.21K","-5.90%"
"12/01/2004","1,306.80","1,384.00","1,386.00","1,272.00","345.39K","-4.86%"
"11/01/2004","1,373.60","1,259.00","1,423.00","1,240.25","303.89K","9.58%"
"10/01/2004","1,253.50","1,271.00","1,308.00","1,189.00","111.31K","-1.79%"
"09/01/2004","1,276.40","1,681.00","1,851.00","1,265.00","45.09K","-25.10%"
"08/01/2004","1,704.15","1,941.00","1,941.00","1,680.15","0.37K","-6.42%"
"07/01/2004","1,821.00","1,821.00","1,821.00","1,821.00","0.00K","-3.11%"
"06/01/2004","1,879.40","1,675.00","1,675.00","1,500.00","0.02K","0.30%"
"05/01/2004","1,873.70","1,875.00","1,900.00","1,750.00","0.03K","2.96%"
"04/01/2004","1,819.90","1,885.00","1,950.00","1,720.00","0.02K","-3.60%"
"03/01/2004","1,887.90","1,649.95","1,892.00","1,585.00","1.43K","14.42%"
"02/01/2004","1,649.95","1,580.00","1,690.00","1,560.00","0.90K","-1.04%"
"01/01/2004","1,667.30","1,590.00","1,699.00","1,526.00","0.36K","3.24%"
